id,name,salary_from,salary_to,currency,published_at,archived,url,requirement,responsibility
110142668,QA Engineer,0,0,0,2024-11-05T16:50:17+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110142668,"Опыт в Web-тестировании. Опыт работы с API (Postman). Опыт работы с инструментами: DevTools, Postman. Знание Linux. Знание <highlighttext>Python</highlighttext>.","Тестирование Web-приложений. Тестирование API (Postman). Создание тестовой документации (тест-кейсы, планы тестирования, чек-листы, матрицы покрытия требований). Анализ требований. "
110288102,Middle Python Developer,180000,260000,RUR,2024-11-07T09:39:51+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110288102,"Опыт асинхронного программирования в <highlighttext>Python</highlighttext>, опыт связывания асинхронного и синхронного кода. Опыт в применении аннотаций типов в <highlighttext>Python</highlighttext>. Знание <highlighttext>python</highlighttext>...",Развитие существующих и разработка новых приложений в рамках продуктов компании. Оценка производительности. Поиск узких мест. Оптимизация кода. Написание технических спецификаций. 
109070514,Тестировщик / manual QA,0,0,0,2024-10-22T15:24:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=109070514,"Умение работать с большими объемами тестовых данных и тестовой документацией. Знание <highlighttext>Python</highlighttext> (самостоятельное написание, запуск, анализ, актуализация автотестов). ",Анализ и тестирование требований. Разработка тестовых сценариев для ручного (90%) и автоматизированного (10%) тестирования. Функциональное и нефункциональное тестирование web и...
110404251,Инженер по тестированию (Middle),0,0,0,2024-11-08T11:46:19+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110404251,"SQL на базовом уровне. Имеете опыт интеграционного тестирования web, знание инструментов. Имеете базовые знания программирования (<highlighttext>python</highlighttext> в приоритете).","Тестирование продукта в рамках задач. Регрессионное тестирование. Взаимодействие с командами разработки, технической поддержки, автоматизации тестирования."
110130854,Стажер в Группу аналитики данных,0,0,0,2024-11-05T14:30:14+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110130854,"Знание SQL (SELECT + JOIN + GROUPBY + Subqueries + UNION). Знание <highlighttext>Python</highlighttext> для анализа данных (pandas, numpy, plotly). ","Сбор и анализ требований заказчиков аналитики. Создание, корректировка и актуализация дашбордов в BI-системе компании. Осуществление ad-hoc аналитики. "
108689213,Prompt-engineer,100000,300000,RUR,2024-11-08T16:11:15+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=108689213,"Опыт в разработке. Будет плюсом: Знание <highlighttext>Python</highlighttext>/JavaScript. Опыт работы с моделями различной размерности 7b, 70b. ",Разработка и настройка чат-ботов на основе LLM в визуальном редакторе. Построение логики работы чат-ботов в соответствии с требованиями...
110264524,Junior разработчик Kotlin / Java,250,500,USD,2024-11-06T18:32:23+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110264524,"...технологии (по убыванию приоритетности: PHP, <highlighttext>Python</highlighttext>, C#). Уверенное владение PHP (можно без объектного подхода), <highlighttext>Python</highlighttext>. Знание HTML/CSS/Java Script...","Разработка back-end для мобильных приложений, возможен минимальный front (без особой критики по дизайну и пр.). Android Studio/Kotlin, знание..."
110430976,Data analyst / аналитик данных (Junior),0,0,0,2024-11-08T15:55:18+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110430976,"Аналитические способности, умение находить нужные данные и задавать правильные вопросы к данным. <highlighttext>Python</highlighttext>. Навыки визуализации данных. Релевантный опыт. ","Регулярная подготовка аналитических отчетов по результатам маркетинговых кампаний и по продуктовой аналитике. Участие в создании инфраструктуры для сбора, хранения и..."
110382689,Python-developer,175000,0,RUR,2024-11-08T10:04:03+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110382689,"Делать лучший продукт в России. Уверенные знания <highlighttext>Python</highlighttext>, ООП. Опыт работы с PostgreSQL: построение оптимальных sql-запросов (без использования ORM...",Разработка высоконагруженного финансового приложения. - Реализация сервиса доставки. - Развитие и сопровождение высоконагруженного приложения фиксации активности пользователей.
110337950,Лингвист,0,0,0,2024-11-07T19:27:03+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110337950,"Дополнительными плюсами будут: Владение языком регулярных выражений (regexp). Опыт работы с ОС Linux, с языками Bash, <highlighttext>Python</highlighttext>, Lua.","Кастомизация технологий контентного анализа под требования заказчика. Работа с заказчиками, телефонные переговоры, встречи в режиме ВКС, выезды, командировки (редко). "
110420382,Разработчик ботов/удаленка/в штат,40000,0,RUR,2024-11-08T13:46:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110420382,"Желательно знание языка программирования <highlighttext>Python</highlighttext> / JavaScript и основных библиотек для работы с чат-ботами, таких как <highlighttext>python</highlighttext>-telegram-bot, Flask...","Разработка телеграмм-ботов, вотсап-ботов, разной направленности: Чат-боты. Юзер-боты. Настройка интеграций с системой AMO CRM Интеграция ИИ. Парсеры. "
110372046,"Разработчик Python, Django",80000,0,RUR,2024-11-08T09:08:24+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110372046,"Вы получаете востребованный опыт на современном стеке, развитие в кругу единомышленников. Ключевое требование - уверенные знания <highlighttext>Python</highlighttext>, Django на проектах с...","На текущий момент реализовали дата-ядро системы на стеке PostgreSQL, <highlighttext>Python</highlighttext>, Datalens. Уперлись в большое количество ручных операций и приняли..."
110425944,Python developer / Python разработчик,0,0,0,2024-11-08T15:10:17+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110425944,Опытом разработки на <highlighttext>Python</highlighttext>3. Глубокими знаниями и практическим опытом работы с Asyncio. Уверенными знаниями Linux. Умением работать в команде...,Разработка и поддержка приложений на <highlighttext>Python</highlighttext>3 с использованием Asyncio. Оптимизация существующего кода и улучшение производительности приложений. Взаимодействие с командой...
109077437,Финансовый аналитик,400000,0,RUR,2024-11-07T18:57:47+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=109077437,"Высшее образование в области экономики/математики. Продвинутый уровень владения MS Excel (обязательно). Навыки SQL, <highlighttext>Python</highlighttext> (желательно). Базовое понимание МСФО и...",Построение и поддержка финансовых моделей компании. Подготовка бюджета компании на полугодовой основе и план-факт анализ на ежемесячной основе. 
97655002,Data Analyst,0,0,0,2024-10-19T19:11:34+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=97655002,"Знание SQL (представления, вложенные запросы, обобщенные табличные выражения, оконные функции, джойны и группировки). Знание <highlighttext>Python</highlighttext> и основных библиотек для обработки...","Платформы хранения и анализа данных (DWH/BI). Системы принятия решений и управления рисками. Аналитические и операционные CRM. ORACLE DB, MS..."
110153452,Python Developer в Краткосрочную аренду,0,0,0,2024-11-05T17:45:11+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=110153452,"Имеете опыт разработки на <highlighttext>Python</highlighttext> 3.X. Понимаете механику языка <highlighttext>Python</highlighttext> и сопутствующих инструментов (pytest, mypy, poetry, flake8). ","Реализовывать высоконагруженные и производительные сервисы на <highlighttext>Python</highlighttext>. Участвовать в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Интегрироваться с партнерами..."
108275731,Тестировщик ПО,90000,140000,RUR,2024-11-06T12:45:45+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=108275731,"Знание bash, <highlighttext>python</highlighttext>, sql. Умение писать скрипты на Bash для автоматизации тестирования. Опыт написания тестов и автоматизации тестирования на <highlighttext>Python</highlighttext>. ",Тестирование и сопровождение системы документооборота (госсектор). - Разработка сценариев тестирования с применением <highlighttext>python</highlighttext> и sql. - Тестирование микросервисов. - Поиск и устранение ошибок...
